学校名,回数区分
埼玉栄,（５回医学）
さいたま市立浦和,1
さいたま市立大宮国際,1
埼玉大附属,1
埼玉平成,（１回）
埼玉平成,（２回）
埼玉平成,（ＳＴＥＭ入試）
埼玉平成,（１科１回）
埼玉平成,（１科２回）
埼玉平成,（１科３回）
栄東,（Ａ１０日）
栄東,（Ａ１１日）
栄東,（東大特待）
栄東,（東大特待算数）
栄東,（Ｂ）
栄東,（東大Ⅱ）
作新学院中等部,1
作新学院中等部,（２回）
佐久長聖,（東京入試）
佐久長聖,（東京入試２）
桜丘,1
桜丘,（２回特待）
桜丘,（３回）
桜丘,（４回特待）
桜丘,（５回）
佐野日大,1
佐野日大,（推薦）
佐野日大,（２回）
佐野日大,（英語）
佐野日大,（自己アピール）
佐野日大,（３回）
佐野日大,（４回）
狭山ヶ丘高付属,1
狭山ヶ丘高付属,（２回）
狭山ヶ丘高付属,（３回）
狭山ヶ丘高付属,（４回）
サレジアン国際学園,（本科）
サレジアン国際学園,（自由選択本科）
サレジアン国際学園,（２回本科）
サレジアン国際学園,（２回自由選択本科）
サレジアン国際学園,（３回スカラシップ本科）
サレジアン国際学園,（２１世紀型本科）
サレジアン国際学園,（１回インターＳＧ）
サレジアン国際学園,（自由選択インターＳＧ）
サレジアン国際学園,（２回インターＳＧ）
サレジアン国際学園,（２回自由選択インターＳＧ）
サレジアン国際学園,（３回スカラシップインターＳＧ）
サレジアン国際学園,（２１世紀型インターＳＧ）
サレジアン国際学園,（１回インターＡＧ）
サレジアン国際学園,（２回インターＡＧ）
サレジアン国際学園,（３回スカラシップインターＡＧ）
サレジアン国際世田谷,（１回午前本科）
サレジアン国際世田谷,（１回午後本科）
サレジアン国際世田谷,（２回特待本科）
サレジアン国際世田谷,（３回本科）
サレジアン国際世田谷,（４回本科）
サレジアン国際世田谷,（１回午前インターＳＧ）
サレジアン国際世田谷,（１回午後インターＳＧ）
サレジアン国際世田谷,（２回特待インターＳＧ）
サレジアン国際世田谷,（３回インターＳＧ）
サレジアン国際世田谷,（４回インターＳＧ）
サレジアン国際世田谷,（１回午前インターＡＧ）
サレジアン国際世田谷,（２回特待インターＡＧ）
サレジアン国際世田谷,（４回インターＡＧ）
サレジオ,（小平）
サレジオ,（小平２回）
サレジオ学院,（Ａ）
サレジオ学院,（Ｂ）
志学館,（Ａ）
志学館,（Ｂ）
志学館,（Ｃ）
志学館,（推薦）
自修館,（Ａ１）
自修館,（Ａ２）
自修館,（Ｂ１）
自修館,（Ｂ２）
自修館,（Ｃ）
自修館,（Ｄ）
静岡聖光学院,（Ⅰ期東京）
静岡聖光学院,（特待東京）
実践学園,1
実践学園,（ＬＡ＆Ｓ）
実践学園,（特待）
実践学園,（２回）
実践学園,（適性）
実践学園,（２回ＬＡ＆Ｓ）
実践学園,（自己ＰＲ）
実践学園,（２回特待）
実践学園,（特別）
実践学園,（Ⅱ期）
品川翔英,1
品川翔英,（適性検査型）
品川翔英,（２回特待）
品川翔英,（２回ラーナー型）
品川翔英,（３回）
品川翔英,（４回）
品川翔英,（５回）
品川翔英,（６回）
芝,1
芝,（２回）
芝浦工業大附属,1
芝浦工業大附属,（２回）
芝浦工業大附属,（特色）
芝浦工業大附属,（３回）
芝浦工大柏,1
芝浦工大柏,（１回ＧＳ）
芝浦工大柏,（２回）
芝浦工大柏,（２回ＧＳ）
芝浦工大柏,（課題作文）
芝国際,（１日午前）
芝国際,（１日午後特待）
芝国際,（２日特待）
芝国際,（３日特待）
芝国際,（５日特待）
芝国際,（国際１１月）
芝国際,（国際１２月）
芝国際,（国際１日午前）
芝国際,（国際１日午後）
芝国際,（国際２日）
芝国際,（国際３日）
芝国際,（国際５日）
渋谷教育学園渋谷,1
渋谷教育学園渋谷,（２回）
渋谷教育学園渋谷,（３回）
渋谷教育学園渋谷,（帰国）
渋谷教育学園幕張,1
渋谷教育学園幕張,（２次）
自由学園男子部中等科,1
自由学園男子部中等科,（２回）
修徳,1
修徳,（２回）
修徳,（３回）
修徳,（４回）
修徳,（５回）
修徳,（６回）
修徳,（７回）
修徳,（特進）
修徳,（２回特進）
修徳,（３回特進）
修徳,（４回特進）
修徳,（５回特進）
修徳,（６回特進）
修徳,（７回特進）
自由の森学園,（Ｘ）
自由の森学園,（Ｃ１）
自由の森学園,（Ｃ２）
自由の森学園,（Ｃ３）
秀明,（一般１期）
秀明,（一般１期ＳＥ）
秀明,（一般２期）
秀明,（一般２期ＳＥ）
秀明八千代,（専願）
秀明八千代,（一般Ａ）
秀明八千代,（一般Ｂ）
秀明八千代,（一般Ｃ）
淑徳,（１回スーパー特進）
淑徳,（２回スーパー特進）
淑徳,（１回東大選抜）
淑徳,（２回東大選抜）
淑徳,（３回東大選抜）
淑徳巣鴨,1
淑徳巣鴨,（３回）
淑徳巣鴨,（スカラシップ）
淑徳巣鴨,（スカラシップ２回）
淑徳巣鴨,（スカラシップ３回）
淑徳巣鴨,（未来力）
順天,（１回Ａ）
順天,（１回Ｂ）
順天,（２回Ａ）
順天,（２回Ｂ）
順天,（３回多面的）
城西川越,（特選）
城西川越,（特選２回）
城西川越,1
城西川越,（２回）
